Unitcell_volume,Density,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,Largest_included_sphere,Largest_free_sphere,Largest_included_sphere_along_free_path,name
6837.43,1.50948,2048.49,0.2996,0.198479,0.0,0.0,0.0,999.713,1462.12,968.626,0.0,0.0,0.0,6.1307,4.60706,6.1307,TUNJET_clean
917.096,1.67735,0.0,0.0,0.0,57.1351,0.0623,0.0371419,0.0,0.0,0.0,14.5635,158.8,94.6732,3.54308,2.28561,3.52619,qmof-58711c7
2706.01,1.35956,1560.02,0.5765,0.424034,0.0,0.0,0.0,552.824,2042.95,1502.65,0.0,0.0,0.0,9.13674,6.9004,9.13674,PATNAB_clean
1211.0,1.33063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18921,0.90104,2.18617,qmof-b8c8c2b
2449.62,1.09349,1370.81,0.5596,0.511757,0.0,0.0,0.0,614.416,2508.21,2293.77,0.0,0.0,0.0,6.49811,5.07984,6.11944,LAQZOV_clean
4962.74,1.07552,1385.1,0.2791,0.259502,0.0,0.0,0.0,719.637,1450.08,1348.26,0.0,0.0,0.0,4.47127,3.21063,4.47127,OMICOD_clean
1608.13,1.65549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74651,1.26131,2.74651,qmof-8bec27b
871.111,1.73335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9928,1.04666,1.98039,qmof-afadce0
2930.58,1.16152,0.0,0.0,0.0,477.977,0.1631,0.140419,0.0,0.0,0.0,200.891,685.499,590.174,5.30241,2.14146,5.30241,qmof-5294948
1961.82,1.27544,418.064,0.2131,0.16708,0.0,0.0,0.0,168.423,858.507,673.107,0.0,0.0,0.0,7.50449,5.57703,7.50449,qmof-c0331cb
1188.15,2.12214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3639,0.91405,2.35848,qmof-a0b4bb0
1032.95,1.56686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904181,8.7534,5.58659,2.94806,1.50788,2.94806,qmof-32457b4
3528.96,1.28679,897.062,0.2542,0.197546,0.0,0.0,0.0,398.01,1127.84,876.475,0.0,0.0,0.0,5.11438,2.92381,5.11438,qmof-9524655
580.418,1.71018,125.835,0.2168,0.12677,0.0,0.0,0.0,48.3456,832.946,487.052,0.0,0.0,0.0,4.31723,3.81301,4.31723,WUCRUH_clean
2278.19,1.92249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73124,1.41802,2.71418,qmof-c4b5b05
6799.27,1.14267,2561.28,0.3767,0.329667,0.0,0.0,0.0,866.798,1274.84,1115.67,0.0,0.0,0.0,9.33486,9.06323,9.30008,qmof-6585ef5
1512.06,1.50074,200.197,0.1324,0.0882232,0.0,0.0,0.0,84.643,559.785,373.007,0.0,0.0,0.0,5.26738,3.0156,5.21442,qmof-43efc53
7734.84,0.49196,5719.14,0.7394,1.50297,0.0,0.0,0.0,1644.57,2126.18,4321.86,0.0,0.0,0.0,12.63412,9.86037,12.61819,ILITUT_manual
2146.62,1.16822,592.895,0.2762,0.236428,0.0,0.0,0.0,271.169,1263.24,1081.34,0.0,0.0,0.0,6.32737,4.10631,6.20812,NAGQET_clean
756.641,1.89678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20516,1.3631,1.85283,qmof-92bf34f
769.944,2.37735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84004,1.37858,1.82544,qmof-eaa4006
4050.29,1.35369,2085.9,0.515,0.380442,0.0,0.0,0.0,846.239,2089.33,1543.43,0.0,0.0,0.0,6.36566,5.3741,6.36566,EWECOY_clean
356.265,2.03167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11892,1.6562,2.11892,qmof-52875a0
3193.63,1.26716,0.0,0.0,0.0,221.318,0.0693,0.0546891,0.0,0.0,0.0,91.5513,286.669,226.229,4.03039,2.3915,4.03039,qmof-a45536d
3174.14,1.10684,1546.76,0.4873,0.440261,0.0,0.0,0.0,576.888,1817.47,1642.02,0.0,0.0,0.0,8.70352,6.17686,8.66741,CAVVUS_clean
1248.38,1.41808,503.847,0.4036,0.28461,0.0,0.0,0.0,199.941,1601.6,1129.41,0.0,0.0,0.0,6.83368,5.62117,6.83368,qmof-191e06e
3237.79,1.21763,537.474,0.166,0.13633,0.0,0.0,0.0,274.307,847.202,695.777,0.0,0.0,0.0,4.39798,3.34186,4.39611,qmof-0bdd243
776.449,2.21334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05234,1.20981,2.05234,qmof-4cd5f97
1159.32,2.51453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88493,1.09402,1.82466,qmof-12b52ca
895.177,2.25421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93356,0.7356,1.6959,qmof-9fa0563
5500.55,1.07871,1762.93,0.3205,0.297113,0.0,0.0,0.0,918.492,1669.82,1547.97,0.0,0.0,0.0,5.18521,4.2274,5.17492,OKIYAJ01_clean
1389.19,2.72104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37831,0.88652,2.37653,qmof-2c0cdf7
1828.03,1.09146,796.838,0.4359,0.399373,0.0,0.0,0.0,383.198,2096.24,1920.58,0.0,0.0,0.0,6.5379,4.8064,6.53406,FIPKOG01_clean
1009.52,1.80864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95094,1.02983,1.89361,qmof-d248652
12286.2,0.782835,8234.19,0.6702,0.856119,0.0,0.0,0.0,3101.23,2524.16,3224.38,0.0,0.0,0.0,9.97626,6.15688,9.95158,BEXVEH_clean
862.087,2.00931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41704,1.28521,2.41704,qmof-8b891d0
2255.79,1.53446,0.0,0.0,0.0,499.432,0.2214,0.144285,0.0,0.0,0.0,211.418,937.225,610.785,4.6712,2.4372,4.39785,QUFKIN_clean
1904.53,1.18507,640.875,0.3365,0.283948,0.0,0.0,0.0,275.909,1448.7,1222.45,0.0,0.0,0.0,5.36356,4.5722,5.34854,RASKIH_clean
863.753,1.94091,322.439,0.3733,0.192333,0.0,0.0,0.0,135.864,1572.95,810.418,0.0,0.0,0.0,5.06902,4.50354,5.05842,CUNQUZ_clean
841.166,2.9442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88929,0.96565,1.88929,qmof-bdde1f9
5436.2,1.3265,1040.49,0.1914,0.144289,0.0,0.0,0.0,602.871,1108.99,836.03,0.0,0.0,0.0,4.77484,3.14039,4.28908,qmof-11fc392
